store_id,city,neighborhood_type,renovated_last_6mo,renovation_completed_date,pre_6mo_avg_revenue_usd,recent_3mo_avg_revenue_usd,pre_period_monthly_trend_pct,facility_condition_score_1_10,quoted_renovation_cost_usd,estimated_closure_days,foot_traffic_score,current_monthly_revenue_usd,customer_nps,avg_wait_time_minutes
S038,Eastport,Downtown,False,,22908,23253,0.67,6.9,206000,15,6.9,22795,42,6.1
S039,Lakeside,University,False,,26995,26990,1.1,6.0,191000,13,7.1,26658,27,3.9
S040,Northgate,Suburban,False,,11949,11735,0.91,8.7,255000,18,3.1,11635,31,6.2
S041,Lakeside,Downtown,False,,36599,37684,0.72,9.2,245000,17,7.5,37633,9,6.6
S042,Lakeside,Suburban,False,,15967,16374,1.17,8.2,230000,15,5.1,16409,20,5.1
S043,Metro City,Downtown,False,,33115,33440,1.05,9.2,254000,18,7.0,33250,26,6.0
S044,Eastport,Shopping Mall,False,,17852,17941,0.78,8.5,216000,16,5.3,17893,18,7.8
S045,Northgate,Suburban,False,,17931,18928,1.34,8.2,226000,16,4.4,18782,24,4.2
S046,Lakeside,University,False,,19853,20155,0.93,7.7,204000,17,5.7,19783,19,3.9
S047,Eastport,Suburban,False,,16976,16921,0.84,9.7,241000,19,2.7,16675,6,6.5
S048,Riverside,University,False,,24546,23968,0.82,9.7,248000,19,6.2,23504,10,6.2
S049,Metro City,University,False,,17372,18067,0.9,4.9,152000,11,7.6,18024,52,7.0
S050,Metro City,Downtown,False,,31346,31907,1.19,6.8,198000,13,6.9,31496,21,6.4
S051,Riverside,Shopping Mall,False,,26012,25976,1.32,9.7,258000,18,6.4,25871,17,4.6
S052,Lakeside,Transit Hub,False,,27151,27176,0.99,8.0,227000,15,5.9,26924,36,6.1
S053,Lakeside,Shopping Mall,False,,19231,20336,1.01,9.3,254000,20,4.5,20269,38,3.8
S054,Metro City,Shopping Mall,False,,15013,15531,1.65,8.6,220000,15,5.0,15334,23,5.1
S055,Riverside,University,False,,16978,16647,0.78,7.8,208000,17,5.5,16432,13,6.3
S056,Riverside,Shopping Mall,False,,19935,19450,0.79,6.5,188000,13,4.6,19256,35,5.0
S057,Metro City,Downtown,True,2026-03-01,31282,34934,0.49,9.6,254000,17,7.6,34496,25,9.2
S058,Metro City,Downtown,False,,34968,35788,1.29,7.3,212000,13,9.0,35432,33,2.7
S059,Riverside,Downtown,False,,29105,29090,0.86,9.7,260000,16,6.5,28314,20,4.7
S060,Eastport,Suburban,False,,11623,11431,0.71,6.8,194000,14,3.3,11303,33,4.1
S061,Riverside,Suburban,False,,16590,17336,0.77,8.1,214000,16,5.7,17305,10,4.4
S062,Riverside,Suburban,False,,18617,19059,1.63,9.3,243000,17,3.6,18870,44,4.5
S063,Lakeside,Transit Hub,True,2026-03-01,24777,27337,1.08,9.5,256000,17,5.8,27172,38,3.5
S064,Riverside,Suburban,False,,20110,19631,0.2,6.9,197000,15,5.5,19400,50,6.6
S065,Eastport,Suburban,True,2026-03-01,17405,19348,0.55,9.6,263000,16,4.8,19340,32,4.7
S066,Eastport,University,False,,20883,21242,1.23,6.9,198000,13,5.8,20758,17,5.7
S067,Metro City,Downtown,False,,29678,29679,1.32,6.3,172000,14,7.3,29400,31,4.8
S068,Riverside,Transit Hub,False,,29022,28721,0.87,8.5,234000,19,6.6,28202,25,4.5
S069,Riverside,Downtown,False,,35485,37015,1.02,7.1,207000,14,9.1,36789,25,8.0
S070,Metro City,Shopping Mall,False,,16731,17086,1.21,8.4,242000,16,5.1,16939,25,6.9
S071,Metro City,Transit Hub,False,,23130,23294,1.72,7.2,207000,16,6.1,23261,35,2.7
S072,Northgate,Downtown,False,,26363,26469,1.19,7.5,217000,17,6.7,26272,40,2.5
S073,Riverside,Downtown,False,,32239,32595,0.47,5.8,168000,13,6.8,32258,32,7.1
S074,Metro City,Transit Hub,False,,35918,36218,0.91,9.4,262000,17,7.6,35860,31,4.7
S075,Metro City,University,False,,11396,11413,0.81,9.7,261000,20,4.5,11332,12,3.0
