store_id,city,neighborhood_type,store_age_months,monthly_revenue_usd,monthly_customer_visits,avg_ticket_usd,staff_fte,annual_staff_turnover_pct,manager_tenure_years,competitors_within_half_mile,foot_traffic_score,has_drive_through,renovated_last_6mo,monthly_marketing_spend_usd,avg_wait_time_minutes,customer_nps,wifi_quality_score
S034,Metro City,Shopping Mall,41,18228,2766,6.82,2,51.3,1.6,3,5.8,False,False,645,2.1,17,1
S035,Metro City,Shopping Mall,24,15062,2566,5.52,2,35.1,6.3,3,5.8,False,True,241,5.9,45,2
S036,Metro City,Transit Hub,95,25211,2983,8.46,3,39.8,2.2,3,7.2,False,False,1773,8.9,9,1
S037,Metro City,Suburban,72,24576,2981,7.91,2,34.5,0.2,1,5.6,True,False,1170,7.5,16,2
S038,Eastport,Downtown,24,22795,2524,9.5,2,28.6,6.1,4,6.9,False,False,470,6.1,42,3
S039,Lakeside,University,25,26658,4015,6.4,4,33.6,0.7,4,7.1,False,False,418,3.9,27,5
S040,Northgate,Suburban,101,11635,1315,9.35,2,46.8,2.2,1,3.1,False,False,1809,6.2,31,2
S041,Lakeside,Downtown,76,37633,3677,9.83,4,14.5,0.5,4,7.5,False,False,1479,6.6,9,3
S042,Lakeside,Suburban,57,16409,2101,8.25,3,53.0,0.2,0,5.1,False,False,917,5.1,20,1
S043,Metro City,Downtown,110,33250,3669,9.62,4,20.5,0.9,4,7.0,True,False,2107,6.0,26,2
S044,Eastport,Shopping Mall,38,17893,2148,8.14,2,29.8,3.8,2,5.3,False,False,997,7.8,18,2
S045,Northgate,Suburban,45,18782,2155,8.23,2,57.2,0.8,1,4.4,False,False,878,4.2,24,3
S046,Lakeside,University,44,19783,2951,6.4,3,44.7,0.6,4,5.7,False,False,635,3.9,19,4
S047,Eastport,Suburban,87,16675,1787,9.25,2,43.7,0.6,2,2.7,True,False,1442,6.5,6,2
S048,Riverside,University,109,23504,3742,5.98,4,46.2,1.8,0,6.2,True,False,1912,6.2,10,4
S049,Metro City,University,6,18024,3432,5.58,3,29.6,9.3,2,7.6,False,False,200,7.0,52,4
S050,Metro City,Downtown,16,31496,3023,9.86,4,14.0,1.5,2,6.9,False,False,200,6.4,21,4
S051,Riverside,Shopping Mall,97,25871,3194,8.11,3,23.2,2.0,1,6.4,True,False,1776,4.6,17,3
S052,Lakeside,Transit Hub,62,26924,2850,9.2,3,19.9,4.9,2,5.9,False,False,1071,6.1,36,1
S053,Lakeside,Shopping Mall,94,20269,2425,8.05,2,42.1,1.9,2,4.5,True,False,1729,3.8,38,1
S054,Metro City,Shopping Mall,55,15334,2242,6.66,2,56.1,0.5,0,5.0,False,False,1227,5.1,23,1
S055,Riverside,University,28,16432,3205,5.11,2,55.6,0.9,3,5.5,False,False,456,6.3,13,5
S056,Riverside,Shopping Mall,36,19256,2855,6.76,3,48.0,0.9,2,4.6,True,False,410,5.0,35,2
S057,Metro City,Downtown,99,34496,3617,8.49,5,31.6,1.3,1,7.6,False,True,1702,9.2,25,2
S058,Metro City,Downtown,47,35432,3831,9.59,3,17.0,1.4,3,9.0,False,False,1000,2.7,33,1
S059,Riverside,Downtown,104,28314,2928,9.16,4,16.1,4.0,3,6.5,False,False,2007,4.7,20,1
S060,Eastport,Suburban,12,11303,1255,8.78,2,56.9,1.1,1,3.3,False,False,319,4.1,33,1
S061,Riverside,Suburban,21,17305,2653,6.77,2,45.2,1.6,2,5.7,True,False,253,4.4,10,2
S062,Riverside,Suburban,95,18870,2029,9.04,2,22.8,2.5,0,3.6,True,False,1860,4.5,44,1
S063,Lakeside,Transit Hub,117,27172,3128,8.02,3,29.7,1.2,4,5.8,False,True,2301,3.5,38,1
S064,Riverside,Suburban,65,19400,2780,6.81,3,37.2,4.5,4,5.5,True,False,1030,6.6,50,4
S065,Eastport,Suburban,118,19340,2430,7.14,2,40.2,2.2,2,4.8,True,True,2115,4.7,32,4
S066,Eastport,University,7,20758,2967,7.36,3,37.2,0.9,2,5.8,False,False,530,5.7,17,4
S067,Metro City,Downtown,6,29400,3103,9.47,3,28.2,3.1,4,7.3,False,False,200,4.8,31,3
S068,Riverside,Transit Hub,53,28202,2907,9.22,3,20.4,1.9,4,6.6,False,False,612,4.5,25,1
S069,Riverside,Downtown,17,36789,4020,9.35,4,17.5,1.9,6,9.1,False,False,582,8.0,25,4
S070,Metro City,Shopping Mall,74,16939,2350,7.13,2,37.0,1.6,2,5.1,False,False,1559,6.9,25,3
S071,Metro City,Transit Hub,42,23261,2815,8.4,2,54.9,1.7,4,6.1,False,False,664,2.7,35,3
S072,Northgate,Downtown,37,26272,2769,9.54,3,24.3,3.6,1,6.7,False,False,643,2.5,40,1
S073,Riverside,Downtown,14,32258,3241,9.9,2,21.8,0.3,5,6.8,False,False,200,7.1,32,4
S074,Metro City,Transit Hub,110,35860,3515,10.14,3,24.4,1.0,5,7.6,False,False,1997,4.7,31,4
S075,Metro City,University,104,11332,2733,4.3,2,56.2,0.2,3,4.5,False,False,2105,3.0,12,5
